Yacht Page Title;Image Filename;Author/User;License Info;Source URL;Modification
118 WallyPower;Ancona,_Marche,_Italy_-_An_alien_vessel_in_the_Port_of_Ancona_(39506573241).jpg;gianni del bufalo;https://creativecommons.org/licenses/by/2.0;https://commons.wikimedia.org/wiki/File:Ancona,_Marche,_Italy_-_An_alien_vessel_in_the_Port_of_Ancona_(39506573241).jpg;Adapted from orginal
Aalto (yacht);Amevi_p1.JPG;Alf van Beem;http://creativecommons.org/publicdomain/zero/1.0/deed.en;https://commons.wikimedia.org/wiki/File:Amevi_p1.JPG;Adapted from orginal
Air yacht;Loening_S-1.jpg;Unknown author;Public domain;https://commons.wikimedia.org/wiki/File:Loening_S-1.jpg;Adapted from orginal
Air yacht;Supermarine_Air-Yacht.jpg;Unknown author;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Supermarine_Air-Yacht.jpg;Adapted from orginal
Al Lusail (yacht);Al_Lusail_Kristiansand.jpg;Dauerlaeufer;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Al_Lusail_Kristiansand.jpg;Adapted from orginal
Al Lusail (yacht);Flag_of_Qatar.svg;;Public domain;https://commons.wikimedia.org/wiki/File:Flag_of_Qatar.svg;Adapted from orginal
Al Mirqab (yacht);Al_Mirqab.jpg;Torsten Bolten;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Al_Mirqab.jpg;Adapted from orginal
Al Mirqab (yacht);Al_Mirqab_774.jpg;Gerd Fahrenhorst;https://creativecommons.org/licenses/by/3.0;https://commons.wikimedia.org/wiki/File:Al_Mirqab_774.jpg;Adapted from orginal
Al Mirqab (yacht);Al_Mirqab_Monaco_2009.jpg;Piponwa;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Al_Mirqab_Monaco_2009.jpg;Adapted from orginal
Al Mirqab (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Al Mirqab (yacht);Commons-logo.svg;Reidab;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Commons-logo.svg;Adapted from orginal
Al Mirqab (yacht);Question_book-new.svg;en:User:Saranphat.cha;http://creativecommons.org/licenses/by-sa/3.0/;https://commons.wikimedia.org/wiki/File:Question_book-new.svg;Adapted from orginal
Al Raya (yacht);Al_Raya_in_Antibes_01.jpg;Spike;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Al_Raya_in_Antibes_01.jpg;Adapted from orginal
Al Raya (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Alaiya (yacht);Flag_of_the_Cayman_Islands.svg;Unknown author;Public domain;https://commons.wikimedia.org/wiki/File:Flag_of_the_Cayman_Islands.svg;Adapted from orginal
Alaiya (yacht);Steinwerder_Blohm+Voss-Werft_Alaiya.jpg;Dkvtig;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Steinwerder_Blohm%2BVoss-Werft_Alaiya.jpg;Adapted from orginal
Alexander (yacht);N/A;;;;Adapted from orginal
Alfa Nero;Alfa_Nero_(03).JPG;Orlovic;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Alfa_Nero_(03).JPG;Adapted from orginal
Alfa Nero;Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Alfa Nero;Commons-logo.svg;Reidab;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Commons-logo.svg;Adapted from orginal
Alysia;Flag_of_Malta.svg;;Public domain;https://commons.wikimedia.org/wiki/File:Flag_of_Malta.svg;Adapted from orginal
Alysia;Moonlight_Yacht.jpg;Tony Hisgett;https://creativecommons.org/licenses/by/2.0;https://commons.wikimedia.org/wiki/File:Moonlight_Yacht.jpg;Adapted from orginal
Amadea (Original Name);N/A;;;;Adapted from orginal
Amore Vero (Original Name);N/A;;;;Adapted from orginal
Anastasia (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Anastasia (yacht);Yacht_Anastasia_01.jpg;Axou;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Yacht_Anastasia_01.jpg;Adapted from orginal
Anastasia (yacht);Yacht_Anastasia_06.jpg;Axou;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Yacht_Anastasia_06.jpg;Adapted from orginal
Anastasia (yacht);Yacht_Anastasia_15.jpg;Axou;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Yacht_Anastasia_15.jpg;Adapted from orginal
Anastasia (yacht);Commons-logo.svg;Reidab;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Commons-logo.svg;Adapted from orginal
Andromeda (2015 yacht);2016_Near_Antibes.jpg;Jordiferrer;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:2016_Near_Antibes.jpg;Adapted from orginal
Andromeda (2015 yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Andromeda (2015 yacht);Le_yacht_à_moteur_U_21_(7).JPG;Jpbazard;https://creativecommons.org/licenses/by/4.0;https://commons.wikimedia.org/wiki/File:Le_yacht_%C3%A0_moteur_U_21_(7).JPG;Adapted from orginal
Andromeda (2015 yacht);Commons-logo.svg;Reidab;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Commons-logo.svg;Adapted from orginal
Anne;Dahl,_Michael_-_Queen_Anne_-_NPG_6187.jpg;;Public domain;https://commons.wikimedia.org/wiki/File:Dahl,_Michael_-_Queen_Anne_-_NPG_6187.jpg;Adapted from orginal
Anne;Dahl,_Michael_-_Queen_Anne_-_NPG_6187.jpg;;Public domain;https://commons.wikimedia.org/wiki/File:Dahl,_Michael_-_Queen_Anne_-_NPG_6187.jpg;Adapted from orginal
Anne;WPanthroponymy.svg;penubag;Public domain;https://commons.wikimedia.org/wiki/File:WPanthroponymy.svg;Adapted from orginal
Anne;Wiktionary-logo-en-v2.svg;Dan Polansky;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Wiktionary-logo-en-v2.svg;Adapted from orginal
Anne;OOjs_UI_icon_edit-ltr-progressive.svg;https://phabricator.wikimedia.org/diffusion/GOJU/browse/master/AUTHORS.txt;http://opensource.org/licenses/mit-license.php;https://commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr-progressive.svg;Adapted from orginal
Aquarius (yacht);AQUARIUS_(30253679811).jpg;kees torn;https://creativecommons.org/licenses/by-sa/2.0;https://commons.wikimedia.org/wiki/File:AQUARIUS_(30253679811).jpg;Adapted from orginal
Aquarius (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Aquarius (yacht);AQUARIUS_(30253679811).jpg;kees torn;https://creativecommons.org/licenses/by-sa/2.0;https://commons.wikimedia.org/wiki/File:AQUARIUS_(30253679811).jpg;Adapted from orginal
Aquarius (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Aquijo (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Asean Lady (Original Name);N/A;;;;Adapted from orginal
Aviva (98m yacht);Aviva_Hudson_NY1.jpg;Acroterion;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Aviva_Hudson_NY1.jpg;Adapted from orginal
Aviva (98m yacht);Commons-logo.svg;Reidab;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Commons-logo.svg;Adapted from orginal
Axiom;Nuvola_apps_edu_mathematics_blue-p.svg;David Vignoni;http://www.gnu.org/licenses/gpl.html;https://commons.wikimedia.org/wiki/File:Nuvola_apps_edu_mathematics_blue-p.svg;Adapted from orginal
Axiom;Socrates.png;The original uploader was;Public domain;https://commons.wikimedia.org/wiki/File:Socrates.png;Adapted from orginal
Axiom;Wikisource-logo.svg;;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Wikisource-logo.svg;Adapted from orginal
Axiom;Wiktionary-logo-en-v2.svg;Dan Polansky;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:Wiktionary-logo-en-v2.svg;Adapted from orginal
Axiom;Semi-protection-shackle.svg;XYZtSpace;http://creativecommons.org/publicdomain/zero/1.0/deed.en;https://commons.wikimedia.org/wiki/File:Semi-protection-shackle.svg;Adapted from orginal
Azzam (2013 yacht);AzzamCadiz.jpg;Javier Virués Ortega;https://creativecommons.org/licenses/by-sa/4.0;https://commons.wikimedia.org/wiki/File:AzzamCadiz.jpg;Adapted from orginal
Badis badis;Badis_badis.jpg;Tomolyka;http://creativecommons.org/licenses/by-sa/3.0/;https://commons.wikimedia.org/wiki/File:Badis_badis.jpg;Adapted from orginal
Badis badis;Blauwe_badis_(vrouw).jpg;Kennyannydenny;https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:Blauwe_badis_(vrouw).jpg;Adapted from orginal
Badis badis;OOjs_UI_icon_edit-ltr.svg;MGalloway (WMF);https://creativecommons.org/licenses/by-sa/3.0;https://commons.wikimedia.org/wiki/File:OOjs_UI_icon_edit-ltr.svg;Adapted from orginal
Badis badis;Salmo_salar_flipped.jpg;Knepp, Timothy;Public domain;https://commons.wikimedia.org/wiki/File:Salmo_salar_flipped.jpg;Adapted from orginal
Badis badis;Status_iucn3.1_LC.svg;Alison;https://creativecommons.org/licenses/by/2.5;https://commons.wikimedia.org/wiki/File:Status_iucn3.1_LC.svg;Adapted from orginal
Baton Rouge (yacht);Civil_Ensign_of_the_United_Kingdom.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_United_Kingdom.svg;Adapted from orginal
Black Pearl (yacht);BlackPearl01a.jpg;Berthold Neutze;Public domain;https://commons.wikimedia.org/wiki/File:BlackPearl01a.jpg;Adapted from orginal
Black Pearl (yacht);BlackPearl04.jpg;Berthold Neutze;Public domain;https://commons.wikimedia.org/wiki/File:BlackPearl04.jpg;Adapted from orginal
Black Pearl (yacht);Civil_Ensign_of_the_Cayman_Islands.svg;Great Brightstar;Public domain;https://commons.wikimedia.org/wiki/File:Civil_Ensign_of_the_Cayman_Islands.svg;Adapted from orginal
Black Pearl (yacht);Oceanco_Y712.jpg;Kees Torn;https://creativecommons.org/licenses/by-sa/2.0;https://commons.wikimedia.org/wiki/File:Oceanco_Y712.jpg;Adapted from orginal
Black Pearl (yacht);Y_712_(32007996843).jpg;kees torn;https://creativecommons.org/licenses/by-sa/2.0;https://commons.wikimedia.org/wiki/File:Y_712_(32007996843).jpg;Adapted from orginal
Black Pearl (yacht);Y_712_(33184933161).jpg;kees torn;https://creativecommons.org/licenses/by-sa/2.0;https://commons.wikimedia.org/wiki/File:Y_712_(33184933161).jpg;Adapted from orginal
